A0A0H2UQ73,Niacin transporter NiaX,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),Brak InterPro kodów dla tego białka.,imex:IM-18537|psi-mi:"MI:0946"|pubmed:23267104
Q9PMT4,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR017932|IPR005855|IPR047084|IPR035466|IPR035490|IPR029055|IPR001347|IPR046348,pubmed:17615063
Q9PN59,Pyridoxine 5'-phosphate synthase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR013785|IPR004569|IPR036130,pubmed:17615063
Q9PNT2,3-dehydroquinate synthase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR050071|IPR016037|IPR030963|IPR030960|IPR056179,pubmed:17615063
Q9PP15,Ribose-phosphate pyrophosphokinase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR000842|IPR029099|IPR029057|IPR000836|IPR005946|IPR037515,pubmed:17615063
Q9UBK5,Hematopoietic cell signal transducer,Homo sapiens,IPR009861,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UBY5,Lysophosphatidic acid receptor 3,Homo sapiens,IPR000276|IPR017452|IPR004065|IPR005385,imex:IM-25472|pubmed:32296183
Q9UET6,tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase,Homo sapiens,IPR028590|IPR050082|IPR002877|IPR015507|IPR029063,imex:IM-24272|pubmed:26496610
Q9UFW8,CGG triplet repeat-binding protein 1,Homo sapiens,IPR033375,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25472|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:32296183|pubmed:33961781
Q9UHX1,Poly(U)-binding-splicing factor PUF60,Homo sapiens,IPR012677|IPR006532|IPR051974|IPR034209|IPR034211|IPR034212|IPR035979|IPR000504|IPR003954,pubmed:17353931
Q9UK00,Uncharacterized protein C3orf18,Homo sapiens,IPR042351,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UKR5,Ergosterol biosynthetic protein 28 homolog,Homo sapiens,IPR005352,imex:IM-25472|pubmed:32296183
Q9ULK2,Ataxin-7-like protein 1,Homo sapiens,IPR052237|IPR013243,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9ULV5,Heat shock factor protein 4,Homo sapiens,IPR000232|IPR036388|IPR036390,imex:IM-22301|pubmed:25036637
Q9ULW3,Activator of basal transcription 1,Homo sapiens,IPR039119|IPR034353|IPR012677|IPR035979,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UNA1-1,Isoform 1 of Rho GTPase-activating protein 26,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-26436|pubmed:32203420
Q9UQ80,Proliferation-associated protein 2G4,Homo sapiens,IPR036005|IPR004545|IPR047113|IPR000994|IPR018349|IPR036388|IPR036390,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
Q9VH81,protein-serine/threonine phosphatase,Drosophila melanogaster,IPR004843|IPR029052|IPR041753|IPR013235|IPR051134|IPR006186|IPR011990|IPR019734,imex:IM-16527|pubmed:25294943
Q9VKS2,Brak nazwy,Drosophila melanogaster,Brak InterPro kodów dla tego białka.,imex:IM-28761|pubmed:37061542
Q9VUQ1,BAG family molecular chaperone regulator 2,Drosophila melanogaster,IPR037689,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9W3F6,Bleomycin hydrolase,Drosophila melanogaster,IPR038765|IPR000169|IPR004134,imex:IM-16527|pubmed:25294943
Q9W4F9,C2H2-type domain-containing protein,Drosophila melanogaster,IPR050331|IPR036236|IPR013087,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9Y2H6,Fibronectin type-III domain-containing protein 3A,Homo sapiens,IPR050617|IPR003961|IPR036116|IPR013783,imex:IM-13779|pubmed:20711500
Q9Y2Z4,Tyrosine--tRNA ligase, mitochondrial,Homo sapiens,IPR001412|IPR002305|IPR014729|IPR036986|IPR002307|IPR024088,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y3D6,Mitochondrial fission 1 protein,Homo sapiens,IPR016543|IPR033745|IPR028061|IPR028058|IPR011990,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Y478,5'-AMP-activated protein kinase subunit beta-1,Homo sapiens,IPR032640|IPR006828|IPR037256|IPR050827|IPR013783|IPR014756,pubmed:17353931
Q9Y4Z2,Neurogenin-3,Homo sapiens,IPR011598|IPR050359|IPR036638|IPR032656,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Y5W5,Wnt inhibitory factor 1,Homo sapiens,IPR050969|IPR000742|IPR013032|IPR003306|IPR038677|IPR013309,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Y5Z9,UbiA prenyltransferase domain-containing protein 1,Homo sapiens,IPR000537|IPR044878|IPR026046,imex:IM-25472|pubmed:32296183
Q9Y639,Neuroplastin,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Y680,Peptidyl-prolyl cis-trans isomerase FKBP7,Homo sapiens,IPR011992|IPR018247|IPR002048|IPR046357|IPR052273|IPR001179,imex:IM-25472|pubmed:32296183
Q9Y6D0,Selenoprotein K,Homo sapiens,IPR024491,imex:IM-25472|pubmed:32296183
Q9Y6G3,Large ribosomal subunit protein mL42,Homo sapiens,IPR019346,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
X2JCC3,poly(A)-specific ribonuclease,Drosophila melanogaster,IPR039637|IPR006941|IPR012337|IPR036397,imex:IM-16527|pubmed:25294943
chebi:"CHEBI:15414"
intact:EBI-10247271
intact:EBI-1033611
intact:EBI-10821373
intact:EBI-11515716
intact:EBI-16769503
intact:EBI-25396188
intact:EBI-5333164
intact:EBI-5333168
intact:EBI-5333185
intact:EBI-5333230
intact:EBI-5333232
intact:EBI-5333234
intact:EBI-5333236
intact:EBI-5333238
intact:EBI-5333273
